country,MeanLife
Albania,68.43291666666667
Austria,73.10325
Belgium,73.64175
Bosnia and Herzegovina,67.70783333333334
Bulgaria,69.74375
Croatia,70.05591666666666
Czech Republic,71.51050000000001
Denmark,74.37016666666666
Finland,72.99191666666667
France,74.34891666666667
Germany,73.44441666666667
Greece,73.73316666666666
Hungary,69.39316666666667
Iceland,76.51141666666666
Ireland,73.01725
Italy,74.01383333333334
Montenegro,70.29916666666666
Netherlands,75.6485
Norway,75.843
Poland,70.17691666666667
Portugal,70.41983333333333
Romania,68.29066666666667
Serbia,68.551
Slovak Republic,70.69608333333333
Slovenia,71.60075
Spain,74.20341666666667
Sweden,76.17699999999999
Switzerland,75.56508333333333
Turkey,59.696416666666664
United Kingdom,73.92258333333334
